FIDEL VALENZUELA,Fidelvalenzuela
NIVALDO PIÑALEO,Pitril
FEDERICO KRUGER,Federicokrugerf
OBDULIO VALDEBENITO,Obduliovaldeben
MARCELA HERNANDO,Marcelahernando
CARLOS LOPEZ,Carloslopez_alc
ESLAYNE PORTILLA,Eslayneportilla
ROBERT ARAYA,Robertaraya
FELIX ROCHA,felixahora
IVAN PAREDES,Ivanparedesfi
LUIS ROCAFULL,Luisrocafull
SALVADOR URRUTIA,Sapurr
XIMENA VALCARCE,Ximenavalcarce
SERGIO STANCIC,Sergiostancic
MARISOL MARTINEZ,Mmartinezaysen
CLAUDIA PONS,Ponsclaudia
JOSE ESCOBAR,Josescobar12
RODRIGO ETCHEVERRY,EtcheverryBuin
CARLOS CISTERNAS,CCisternasU
ERNESTO SANCHEZ,Sanchezbulnes
IVAN ALMONACID,IVAN_ALMONACID
ARTURO MOLINA,A_Molina2012
ESTEBAN VELASQUEZ,Velasquezcalama
PAULINO DIAZ,paulinoda
ERASMO VALENZUELA,Erasmoagustin
HORTENSIA MORA,Hortensiamora12
NELSON VENEGAS,Nsvenegas
SABINA GUERRA,Sabinaguerracl
BERNARDO LEYTON,Bernardo_Leyton
JORGE RADONICH,Jorgeradonich
JUAN CARLOS FERNANDEZ,jc_fernandez
IVAN DURAN,Candidatoduran
FILIBERTO NUÑEZ,Filibertonunez
JAIME MARQUEZ,Jmarqueztey
NELSON AGUILA,Aguiladecastro
FERNANDO BORQUEZ,Fernandoborquez
JUAN CARLOS MUÑOZ,Alcaldemunoz
ARTURO AGUIRRE,Arturo_aguirreg
LUIS PLAZA,Alcaldelplaza
MAURO TAMAYO,Mtamayor
RAUL SALAS AGUILERA,Raul_Salas_A
RODRIGO ANABALON,Anabalon2012
PEDRO DURAN,Unt_Duranmas
ALDO BERNUCCI,aldobernucci
CLAUDIO MARTINEZ,Claudiochillan
SERGIO ZARZAR,Alcaldezarzar
CRISTIAN QUIROZ,Cristian_Quiroz
RICARDO ASFURA,Ricardoasfurai
VIOLETA CEA,Violetacea
PEDRO ANDRADE PEREZ,pedrornchonchi
PEDRO ANDRADE OYARZUN,chonchiuno
FRANCISCO RONCAGLIOLO,Froncagliolo
PATRICIO ULLOA,alcaldecochrane
ANA MARIA SILVA,Anamariasilva32
JOAQUIN VALENZUELA,JoacoValenzuela
ARNOLDO JIMENEZ,Arnoldojimenezv
JUAN ABARCA,Juan_Abarca
HERNAN NUÑEZ,Hernan_nunezr
RAUL OLIVARES,Raulolivares65
MARIO OLAVARRIA,Mario_Olavarria
RODRIGO ALBORNOZ,Ralbornozp
CARLOS RIVAS,CarlosRivasL
RODRIGO ORDENES,alcalderodrigo
PEDRO CASTILLO,Pedrocastillod
ALVARO ORTIZ,Ortizconce
EMILIO ARMSTRONG,Armstrongconce
FRANCISCO CORDOVA,Alcaldecordova
RAUL ROMERO,Raulromeroe
IVAN ACOSTA,Ivanacostagalaz
RUBEN MALVOA,Rubenmalvoa
ALEX MOYA,moya_sabe
JORGE VALDOVINOS,JVGalcalde
OSCAR SUMONTE,sumonteoficial
RICARDO URENDA,Rurendah
CARLOS VALENZUELA,Carlosazul42
DIEGO IBAÑEZ,DiegoEIB
DORIS PAREDES,dorislaila
MAGLIO CICARDINI,Magliocicardini
PEDRO CID,Pedrocid
RODRIGO ROJAS,votacopiapo
CRISTIAN GALLEGUILLOS,DrGalleguillos
CARLOS OROS,oros_carlos
JOSÉ SULANTAY,sulantay2012
MOIRA NAVEA,Moiranavea
LEONIDAS ROMERO,Alcalde_Romero
RENE CARVAJAL,renecarvajalz
GASTON PEREZ,Alcaldedecorral
OMAR MUÑOZ,Alcaldeomunoz
ALEJANDRO HUALA,hualacoyhaique
VICTOR ACEVEDO,CoyhaiqueVictor
LEONARDO BRAVO,Bravoxcuracavi
AHIMALEC BENITEZ,Ahimalec2012
HECTOR CARRASCO,Curarrehue_h3
RENE CONCHA,reneAlcalde
PAOLA PARRA,Paolaanaparra
JAVIER MUÑOZ,Javiermalcalde
RAUL BASUALTO,Raulbasualto
RAMIRO BARRIA,RamiroBarriaBor
CARLOS CONTRERAS,Contreras012
SADI MELO,Sadimelo
FRANCISCO GOMEZ,Franciscogr
CRISTOFER CEBALLOS,cristoferconcej
NATALIA CARRASCO,alcaldeelquisco
CAMILO BALLESTEROS,Camilo_B2012
RODRIGO DELGADO,RodrigoDelgadoM
JOSE MIGUEL PAZOLS,JosMiguelPazols
JOSE BRAVO,Drbravoxfreire
CESAR ORELLANA,Cesar_Freirina
RODRIGO GUARDA,rguarda2012
RAMON ESPINOZA,Espinoza_Ramon
MARCELO ARISMENDI,Marcearismendi
FERNANDO HUAIQUIL,ConceHuaiquil
FRANCISCO BELTRAN,FBeltran2012
CLAUDIO SEGOVIA,SEGOVIACLAUDIO
CRISTIAN ALVARADO,Cristianmka
VERONICA ROSSAT,veronicarossat
CLAUDIO PUCHER,claudiopucher
MARISOL PEREZ,MarisolPerezS
GABRIEL TORRES,G_Torres_H
ELICIA HERRERA,Eliciaherrera
ALEX BASAUR,AlexBasaurF
MARCELO MELLA,Marcelo_Mella
CARLOS SILVA,Alcaldesilva
MANUEL NANJARI,Manu_Nanjari
CARLOS CUADRADO,Cuadrado2012
MARCELO TEUBER,Marceloteuber
DANIEL BUSTOS,Alcalde_Bustos
PATRICIO TRIGO,Patriciotrigo
ANTONIO GARRIDO,Alcaldegarrido
GONZALO DURAN,Duranbaronti
CRISTIAN JAMETT,Cristianjamett
DANIEL SOLA,Danielsola75
CARLOS ADASME,Carlosadasme
JORGE MADRIAGA,Jorgemadriagace
MATA - U´IROA MANUEL ATAN,Mata_Atan
DAVID MATELUNA,Daulmal
GONZALO DUARTE,Gduartel
IVAN MLYNARZ,Ivanmlynarz
RODRIGO CORTEZ,R_Cortez_Sasso
RODOLFO CARTER,Rodolfocarter
FELIPE DELPIN,Felipedelpin
YERKO GALLEGUILLOS,Yerko_Alcalde
JAIME PAVEZ,Jaimepavezm
PATRICIO LAGUNA,Patriciolagunag
JUAN OSSA,jgossa
CATALINA DEL REAL,Catadelrealm
RAUL DONCKASTER,Rauldonckaster
MARCELO CASTAGNETO,Castagneto2012
PEDRO BELLO,Pedrobellob
ROBERTO JACOB,Jacob_Alcalde
SANTIAGO ROSAS,Santiagorosasl
CARLOS ESCOBAR,Estoycontig0
GRACIELA ORTUZAR,Gracielaortuzar
LUCAS BLASET,Lucasblaset
SANTIAGO ALBORNOZ,santiagoalcalde
ANDRES ETCHARREN,etcharren2012
HUGO SALAZAR,Hugoconcejal
ARISTIDES POBLETE,Apoblete2012
CRISTIAN PEÑA,CristianAbel
ARCHIBALDO ARELLANO,ArchiArellano
DANIEL MORALES,Danielmoralese
ROLANDO RENTERIA,Alcaldelinares
JUAN VASQUEZ,JFVasquez2012
ATILIO HERRERA,Atilio_Herrera
CONSUELO REBOLLEDO,Consuerebolledo
JUAN DROGUETT,droguettalcalde
JUAN ZAMBRANO,Zambrano_2012
RODRIGO GONZALEZ,rgonzalezceron
CAMILO MORAN,Camilomoran
GONZALO NAVARRETE,gon_navarrete
CRISTIÁN MENCHACA,Menchaca_news
NIBALDO ALEGRIA,N_Alegria2012
JORGE FUENTES,Jfuentesf
PASCUAL SAGREDO,pascualsagredo
GUILLERMO HURTADO,Memohurtadogana
MAURICIO NAVARRO,Mfns2010
CRISTOBAL URRUTICOECHEA,cristobal2012LA
ESTEBAN KRAUSE,Krausealcalde
ELIZARDO SANTANA,Elizardosantana
JULIO ROJOS,Jarojos
MANUEL PAINIQUEO,Alcaldelumaco
JORGE PEREZ,Perezmarinjorge
GONZALO MONTOYA,Montoyalcalde
RAPHAEL SALABERRY,Salaberryrapha
SERGIO PUYOL,Alcaldepuyol
ALVARO GOMEZ,Aegconcha
JOAQUIN LAVIN LEON,Jlavin2012
CHRISTIAN VITTORI,Alcalde_Maipu
CLAUDIA MIX,Claudia_Mix
ERWIN PACHECO,PACHECOALCALDE
IVAN RIVEROS,alcaldeiriveros
JORGE WESTERMEIER,Jjwestermeier
ROLANDO CORTES,Roli_Cortes_Mej
MARIO GEBAUER,Mariogebauer
PAULA GARATE,Paulamelipilla
OMAR MONDACA,OMondacaMolina
JUAN BARRERA,JuanBarrera2012
PRISCILA CASTILLO,Castillogerli
IVON GUERRA,Ivonguerra2012
MIRENCHU BEITIA,Mirenchu2012
JORGE RIVAS,Jorgerivas_2012
VICTOR CAMPOS,ConcejalVictorC
FERNANDO PAREDES,fdoparedes
MARIA ISABEL SANCHEZ,Kaweskar1
LUIS FAJARDO,Fajardoxnavidad
HERNAN SEPULVEDA,Nancho_Sepulved
JUAN CARLOS GÁLVEZ,Juancarlosgalv
MATIAS MLYNARZ,MatiasMlynarz/
MAYA FERNANDEZ,Mayafernandeza
PEDRO SABAT,pedro_sabat
MACARENA SANTELICES,Macasante
JAIME BERTIN,Jaimebertin
JORGE TEJEDA,jtejedaroa
MARIA CECILIA UBILLA,Ceciliaubilla
RICARDO GONZALEZ,rgonzalezalc
HANNA JARUFE,hjarufe_alcalde
CLAUDIO RENTERÍA,claudiorenteria
MARTA LOBOS,marta_lobos
JOSE ARELLANO,Alcaldearellano
JOSE ORELLANA,Orellanalcalde
MARIO GONZALEZ,Mgonzaprsd
DIEGO VERGARA,Alcaldedepaine
NICOLAS MENA,Nimena
LUIS PRADENAS,Luispradenas_Al
MARCO MUÑOZ,Marcoxpanquehue
ISRAEL URRUTIA,Israelurrutia1
JUAN LEMUÑIR,Juanlemunirpac
RAFAEL IZQUIERDO,Izquierdopac
ANGIE FARIAS,Angiefariasv
WILFREDO ALFSEN,Wilfredoalfsen
CAROLINA LEITAO,Carolinaleitao
MARIO MARIN,Marinlolen
MARCELO MORAN,Marcelomorane
LUCY LARA,Lucylara2012
MARCELO HERNANDEZ,Boxiadp
SERGIO OLIVOS,Olivoszerene
VICTOR FIGUEROA,Victorhugopenco
GABRIEL ALBISTUR,Galbistur
FABIAN GUAJARDO,FabianAlcalde
LUIS MUÑOZ,lmunozperez
GUSTAVO VALDENEGRO,Valdenegro2013
INGRID MASSARDO,ingrid_alcalde
OSVALDO TORO,OsvaldoToroToro
FERNANDO VERDUGO,Fdoverdugo
RUBEN CERON,Racergon
CRISTIAN BALMACEDA,Cbalmacedau
LUIS BATALLE,Batalle
MARCELO MONCADA,MoncadaMarcelo
RENE SCHUFFENEGER,Rschuffeneger
MARGARITA NORAMBUENA,margan2012
JOSEFA ERRAZURIZ,Josefaerrazuriz
ANTONIO OLIVARES,@Olivares_Ant
CRISTIAN NORAMBUENA,Vecinocristian
JOHNNY CARRASCO,Jcarrascoc
GERMAN CODINA,Germancodina
MARIA SOLEDAD BARRIA,Doctorabarria
PATRICIO MERY,PatricioMery
RAINIER RIOS,Rainierrios
ROBERTO AVILA,Robertoavilatol
GERVOY PAREDES,Gervoyparedesr
JAIME BRAHM,Brahmalcalde
RAUL OLIVA,Raulolivaalcald
ALVARO BERGER,ABerger2012
FOCH METAYER,FochMetayer
FRANCISCO CASTRO,Nolocastro
EMILIO BOCAZZI,EmilioBoccazzi
ROBERTO SAHR,Robertosahr
SILVIA ARANCIBIA,Silviarancibia
GUSTAVO LOBOS,Gustavolobosm
MIRIAM BAZAEZ,Mbazaez2012
JUAN CARRASCO,JuanQuilicura
LUIS MELLA,Doctormella
RODRIGO JARUFE,Rjarufe
DIMITRI MORALES,Dimitri_Morales
MAURICIO VIÑAMBRES,Mvinambres
NICOLAS ECHENIQUE,Nicoechenique
CARMEN FERNANDEZ,Carmengloriafz
DANIEL ESCOBAR,Escobaralcalde
HUGO LANDAURO,Hugolandauro
CECILIA FERNANDEZ,Macecilia2012
CARLOS ARELLANO,Arellanoalcalde
DAVID LLANCAO,Davidllancao
EDUARDO SOTO,Alcaldesoto
FELIPE REBOLLEDO,Feliperanquil
CELSO CALFULLAN,Celsocalfullan
DANIEL JADUE,Danieljadue
GONZALO CORNEJO,Gonzalocornejo
SOL LETELIER,Sol_Letelier
CRISTIAN BOWEN,Cristianbowen
JORGE ROSALES,Jorgerosalesv
LUIS REYES,Reyesalcalde
GUIDO CANCINO,guidomarcancino
OMAR VERA,Omar_vera
RODOLFO TORREALBA,Rtorrealbae
LEONARDO SOTO,Leosotoalcalde
NICOLAS HENRIQUEZ,Nicolas_Alcalde
NORA CUEVAS,Nora_Cuevas
FELIPE LETELIER,letelier2012
CRISTIAN FERNANDEZ,Alcaldecristian
LORENA JARDUA,Jarduacampos
JAIME AMAR,Jaimeamar
PATRICIO FREIRE,PatoFreireCanto
OSCAR MARIN,oscar_marn
GUSTAVO VALDERRAMA,Valderrama_2012
JUSTINO VASQUEZ,Justinovasquez
CECILIA PARHAM,Ceciliaparham
ALONSO PEREZ DE ARCE,Perezdearce2012
SERGIO ECHEVERRIA,secheverriag
LUIS PEZOA,Alcaldepezoa
LUIS VARGAS,Luisvargassjm
BERNARDO CANDIA,Bernardocandia
CLAUDIO ESCOBAR,escobar20121
JULIO PALESTRO,Alcaldepalestro
MANUEL DEVIA,Manueldevia2012
ROLANDO HUMIRE,rolandohumire
ALVARO RIVAS,Alcalderivas
JAIME SOTO,Jaimesotoalcald
SANDRA ERMANN,Sandraermann
AUDITO RETAMAL,AlcaldeAudito
MIGUEL GARRIDO,alcaldegarrido!!!
EDINSON TORO ROJAS,edinsontoro2012
CRISTIAN OSES,alcalde_iraira
DANIEL SALAMANCA,danielconcejal
CARLA CAICEO,Carlacaiceo
CAROLINA TOHA,Carolina_Toha
IVAN CARRASCO,Ivancarrascom
MARIO AGUILAR,Aguilarmario
PABLO ZALAQUETT,Pablozalaquetts
WALDO MORA,WaldomoraL
JUAN PABLO ARRIAGADA,Juanpaarriagada
RAUL LEIVA,Raulleiva
ALEXIS SEPULVEDA,Alexisalcalde
JUAN CASTRO,Juancastrotalca
LORENA TAPIA,Ltapiacontreras
HENRY CAMPOS,Henrycamposcoa
FRANCISCO HUENCHUMILLA,Temucoengrande
GENOVEVA SEPULVEDA,Genovevatemuco
MIGUEL BECKER,BeckerAlcalde
JORGE HIDALGO,Concejalhidalgo
NELSON ORELLANA,concejaltiltil
DENIS GUERRERO,denisgue
FERNANDO CALLAHAN,Timaukel2012
FERNANDO SAN ROMAN,Sanromantoco
IVONNE RIVAS,Ivonnerivas1
LARRY SANDOVAL,larrysandovall
CARLOS ATMMANN,Carlosamtmann
OMAR SABAT,Omar_Sabat
FRANCISCO MARIN,Amigopancho
JORGE BUSTOS,Jbustosb
JORGE CASTRO,Jorgecastrovalp
ROMAN PAVEZ,Alcaldepavez
FERNANDO GUAMAN,FdoGuaman
RAFAEL VERA,Rafael_Vera
PATRICIO VILLANUEVA,PVR1963
FERNANDO OLMEDO,Olmedo2012
RENE LUES,Renelues
VIRGINIA REGINATO,Cotyreginato
FERNANDO BORQUEZ,@borquezu
ALVARO TRONCOSO,A_troncoso
LUIS GUZMAN,luis_guzmant
CAMILO CABEZAS,CamiloCabezasV
FELIPE CACERES,felipezapallar
CHRISTIAN LABBE,PasionxProvi
GONZALO RAMIREZ,alcalderamirez1